location,rank,abundance
1,1,131
1,2,64
1,3,20
1,4,10
1,5,4
1,6,4
1,7,3
1,8,1
1,9,1
1,10,1
1,11,1
2,1,83
2,2,77
2,3,40
2,4,15
2,5,13
2,6,10
2,7,9
2,8,7
2,9,5
2,10,5
2,11,3
2,12,3
2,13,3
2,14,3
2,15,2
2,16,2
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
3,1,17
3,2,5
3,3,4
3,4,3
3,5,1
3,6,1
3,7,1
4,1,31
4,2,15
4,3,13
4,4,8
4,5,2
4,6,1
5,1,19
5,2,3
5,3,3
5,4,2
5,5,1
5,6,1
5,7,1
5,8,1
6,1,134
6,2,89
6,3,77
6,4,77
6,5,52
6,6,43
6,7,42
6,8,16
6,9,15
6,10,15
6,11,14
6,12,13
6,13,9
6,14,8
6,15,7
6,16,6
6,17,5
6,18,5
6,19,5
6,20,4
6,21,3
6,22,3
6,23,2
6,24,2
6,25,2
6,26,1
6,27,1
6,28,1
6,29,1
6,30,1
6,31,1
6,32,1
6,33,1
6,34,1
6,35,1
6,36,1
6,37,1